subj_idx,bias_source,bias_direction,addition_length,quantiles,boundary,value,p,experiment,model_name
S004,mullerlyer,short,30,0.9,q_lower,1.2717373066920443,0.24277333333333337,add_len,dczBDAL_sV
S004,mullerlyer,short,40,0.1,q_lower,0.31700818502733996,0.38432432432432345,add_len,dczBDAL_sV
S004,mullerlyer,short,40,0.3,q_lower,0.42456500853276513,0.38432432432432345,add_len,dczBDAL_sV
S004,mullerlyer,short,40,0.5,q_lower,0.5561513960478837,0.38432432432432345,add_len,dczBDAL_sV
S004,mullerlyer,short,40,0.7,q_lower,0.7591878357756175,0.38432432432432345,add_len,dczBDAL_sV
S004,mullerlyer,short,40,0.9,q_lower,1.2383160078727236,0.38432432432432345,add_len,dczBDAL_sV
S004,mullerlyer,short,50,0.1,q_lower,0.3401707824513555,0.26626666666666676,add_len,dczBDAL_sV
S004,mullerlyer,short,50,0.3,q_lower,0.46252904285318636,0.26626666666666676,add_len,dczBDAL_sV
S004,mullerlyer,short,50,0.5,q_lower,0.6066295100089145,0.26626666666666676,add_len,dczBDAL_sV
S004,mullerlyer,short,50,0.7,q_lower,0.8210518345952764,0.26626666666666676,add_len,dczBDAL_sV
S004,mullerlyer,short,50,0.9,q_lower,1.3123053038494008,0.26626666666666676,add_len,dczBDAL_sV
S004,mullerlyer,short,60,0.1,q_lower,0.31698584970582583,0.44206711409395955,add_len,dczBDAL_sV
S004,mullerlyer,short,60,0.3,q_lower,0.424740123732709,0.44206711409395955,add_len,dczBDAL_sV
S004,mullerlyer,short,60,0.5,q_lower,0.5558411356755714,0.44206711409395955,add_len,dczBDAL_sV
S004,mullerlyer,short,60,0.7,q_lower,0.7579437185848724,0.44206711409395955,add_len,dczBDAL_sV
S004,mullerlyer,short,60,0.9,q_lower,1.2141984410754922,0.44206711409395955,add_len,dczBDAL_sV
S005,mullerlyer,long,30,0.1,q_lower,0.4667821040452138,0.5667199999999888,add_len,dczBDAL_sV
S005,mullerlyer,long,30,0.3,q_lower,0.6147959510338316,0.5667199999999888,add_len,dczBDAL_sV
