subj_idx,bias_source,bias_direction,stim,response,rt
S002,baserate,short,0,0,1.47235000097377
S002,baserate,short,0,0,3.11697999930518
S002,baserate,short,0,0,1.99088500047386
S002,baserate,short,0,0,1.37819000177546
S002,baserate,short,1,1,3.50449499838207
S002,baserate,short,0,0,3.40076999948263
S002,baserate,short,0,0,2.41942999911427
S002,baserate,short,0,0,2.34582999877171
S002,baserate,short,0,0,1.58268000047028
S002,baserate,short,0,0,2.49660999917209
S002,baserate,short,0,0,1.27913500039621
S002,baserate,short,1,1,3.62564999971628
S002,baserate,short,1,1,3.98369499993086
S002,baserate,short,1,1,4.59981000049515
S002,baserate,short,0,0,1.81311999827461
S002,baserate,short,1,1,2.74481999898553
S002,baserate,short,0,0,3.60729500113292
S002,baserate,short,0,0,1.85289000191076
S002,baserate,short,0,0,1.42861500036137
S002,baserate,short,0,0,1.11991000017838
S002,baserate,short,0,0,1.2665699998291
S002,baserate,short,0,0,1.22531000014305
S002,baserate,short,0,0,2.93039000049336
S002,baserate,short,0,0,2.14440499989672
S002,baserate,short,1,1,3.01652500064535
S002,baserate,short,0,0,2.31128500263956
S002,baserate,short,1,1,1.95083500043793
S002,baserate,short,0,0,4.64104500031488
S002,baserate,short,0,0,1.17765000131369
S002,baserate,short,0,0,1.2475199992569
S002,baserate,short,1,1,2.39965499898732
S002,baserate,short,1,1,4.48347000038862
S002,baserate,short,0,0,4.94612999998271
S002,baserate,short,0,0,1.18576499854462
S002,baserate,short,0,0,1.13314000159144
S002,baserate,short,0,0,0.947379999272227
S002,baserate,short,0,0,1.71572499925435
S002,baserate,short,1,1,3.95156000147445
S002,baserate,short,0,0,2.70195000064297
S002,baserate,short,0,0,1.94851499983728
S002,baserate,short,1,1,2.81738999875741
S002,baserate,short,0,0,3.62937499990404
S002,baserate,short,0,0,3.88905499923706
S002,baserate,short,1,1,3.32025999967277
S002,baserate,short,0,0,4.38586499955611
S002,baserate,short,0,0,2.39411499946356
S002,baserate,short,1,1,2.66696499984221
S002,baserate,short,1,1,2.95500000014484
S002,baserate,short,0,0,4.8087799995464096
S002,baserate,short,0,0,1.77120500019534
S002,baserate,short,1,1,2.92780999982238
S002,baserate,short,0,0,3.00637999764519
S002,baserate,short,0,0,3.78763999954896
S002,baserate,short,0,0,1.95142500090761
S002,baserate,short,0,0,1.48098500067294
S002,baserate,short,1,1,2.39694999883251
S002,baserate,short,0,0,2.5335949996078
S002,baserate,short,0,0,2.22873499839144
S002,baserate,short,0,0,0.952349997815656
S002,baserate,short,0,0,0.951455002223683
S002,baserate,short,0,0,1.83231000065727
S002,baserate,short,1,1,2.55695999927418
S002,baserate,short,0,0,1.53271999773638
S002,baserate,short,0,0,1.1275900005029
S002,baserate,short,0,0,1.497180000336
S002,baserate,short,0,0,1.15636500150442
S002,baserate,short,0,0,1.24344999857621
S002,baserate,short,0,0,1.51211999954598
S002,baserate,short,0,0,1.27914500070078
S002,baserate,short,0,0,1.68416999815183
S002,baserate,short,0,0,0.9732099993567
S002,baserate,short,0,0,1.40707000006735
S002,baserate,short,0,0,1.16860499745982
S002,baserate,short,0,0,1.21670500006616
S002,baserate,short,0,0,1.17265000015199
S002,baserate,short,0,0,1.18013500093205
S002,baserate,short,0,0,2.27954499993308
S002,baserate,short,0,0,1.35325500194533
S002,baserate,short,0,0,1.20692000186069
S002,baserate,short,1,1,2.48909499869645
S002,baserate,short,0,0,2.41007499979301
S002,baserate,short,0,0,1.63352500095665
S002,baserate,short,0,0,1.0473500006433
S002,baserate,short,1,1,2.32198500094652
S002,baserate,short,0,0,1.97807499932187
S002,baserate,short,0,0,1.36641000008702
S002,baserate,long,1,1,4.30120999958754
S002,baserate,long,0,0,2.69263999874175
S002,baserate,long,1,1,3.10852999994397
S002,baserate,long,0,0,1.8854399972907
S002,baserate,long,0,0,3.205144999879
S002,baserate,long,1,1,2.33226499853313
S002,baserate,long,0,0,2.09151499872284
S002,baserate,long,0,0,1.56666999910057
S002,baserate,long,1,1,3.80481000107451
S002,baserate,long,1,1,2.88097999962986
S002,baserate,long,1,1,3.44968000033438
S002,baserate,long,0,0,2.09596500011444
S002,baserate,long,1,0,2.61875000042796
S002,baserate,long,1,0,3.37239499995632
S002,baserate,long,1,0,3.32374000222233
S002,baserate,long,1,0,3.53984999886513
S002,baserate,long,1,0,3.49538000114007
S002,baserate,long,1,0,3.84766500116944
S002,baserate,long,1,1,3.17016500041723
S002,baserate,long,1,0,3.25846999906258
S002,baserate,long,1,1,3.62448000125034
S002,baserate,long,1,1,3.0168799998796
S002,baserate,long,1,1,2.83423499966323
S002,baserate,long,1,1,2.96328999879854
S002,baserate,long,0,0,2.56624500101268
S002,baserate,long,1,1,2.01464500118256
S002,baserate,long,0,0,1.90155000046296
S002,baserate,long,1,1,2.82187999958038
S002,baserate,long,1,1,3.41765499852078
S002,baserate,long,1,0,2.54976999937236
S002,baserate,long,0,0,1.6969899981864
S002,baserate,long,1,0,2.11915500072658
S002,baserate,long,0,0,3.30086999962568
S002,baserate,long,1,1,3.21752499957859
S002,baserate,long,1,1,2.49919000074728
S002,baserate,long,1,0,2.68661999876499
S002,baserate,long,1,1,2.80403500001907
S002,baserate,long,1,1,3.66991500135243
S002,baserate,long,1,1,3.09898000025971
S002,baserate,long,1,1,3.03118500120027
S002,baserate,long,0,0,1.91448999961317
S002,baserate,long,1,1,2.09964000069423
S002,baserate,long,1,1,2.58441499838309
S002,baserate,long,1,1,2.56553999923782
S002,baserate,long,1,0,2.84867999870539
S002,baserate,long,0,0,2.88058000071211
S002,baserate,long,0,0,3.70271500030458
S002,baserate,long,0,0,1.41776499920726
S002,baserate,long,1,0,3.34009500262644
S002,baserate,long,1,1,2.99883500128968
S002,baserate,long,1,0,2.61345999878662
S002,baserate,long,1,0,2.81629500006795
S002,baserate,long,0,0,2.37297500105543
S002,baserate,long,0,0,1.10604500035286
S002,baserate,long,1,1,3.30309499953806
S002,baserate,long,1,1,3.49242000103338
S002,baserate,long,1,1,4.07573999990165
S002,baserate,long,1,1,4.49760499929624
S002,baserate,long,1,0,3.28129999905765
S002,baserate,long,1,1,2.36608999951661
S002,baserate,long,1,1,3.18722499942958
S002,baserate,long,0,0,2.64900500105202
S002,baserate,long,1,1,2.49515999860048
S002,baserate,long,0,0,5.25383500152273
S002,baserate,long,1,1,2.67411999975188
S002,baserate,long,1,1,3.56244499987185
