participant,bias_source,bias_direction,rep,d,ccrit
129,mullerlyer,short,-2.1466666666666665,2.1016745477664553,2.220446049250313e-16
130,baserate,long,-3.44,0.889565725564591,0.510794675158136
130,baserate,short,-0.5733333333333334,1.2297370419658016,0.6372509992823188
131,mullerlyer,long,35.96,1.3385813882310058,0.12561791381668275
131,mullerlyer,short,5.866666666666666,1.7007604460498404,0.14407766018483265
132,payoff,long,-46.36,3.057984012797313,-0.6873707728257421
132,payoff,short,-34.22666666666667,2.5394005112062246,-0.9466625236212863
133,baserate,long,2.546666666666667,1.6224547371713096,-0.19192059907687903
133,baserate,short,2.32,1.6035417659499231,-1.0009722077642285
134,baserate,long,-13.866666666666667,1.8687549031150312,0.868365639181675
134,baserate,short,-34.10666666666667,1.9839276041248373,0.260155718202801
135,baserate,long,4.346666666666667,2.2448091631323774,0.48876458078648777
135,baserate,short,1.1733333333333333,2.9294579855301595,0.47320251808774944
137,baserate,long,-35.21333333333333,1.2938708108902395,0.24021115357375616
137,baserate,short,-35.78666666666667,1.6664333966287173,-0.7009038460381872
139,mullerlyer,long,4.693333333333333,0.905879239253042,-0.12990188764469518
139,mullerlyer,short,-1.6133333333333333,1.4339196675692008,-0.17328705348578022
140,baserate,long,0.7333333333333333,2.302108197659556,0.2516191911625442
140,baserate,short,4.173333333333333,1.9105969888059344,0.16365988665959263
142,mullerlyer,long,28.32,0.744755024467452,0.42253109569845965
142,mullerlyer,short,25.253333333333334,1.225635907227643,0.1820906543183641
143,baserate,long,-5.08,1.1740226328456973,0.520999504047008
143,baserate,short,4.24,1.5668648078351273,-0.9157452561937348
144,payoff,long,-32.906666666666666,0.6186680146112856,0.15836479180886553
144,payoff,short,-27.293333333333333,1.2032603613293071,-0.7188742232026271
145,mullerlyer,long,0.24,1.867930113790143,0.816721014357098
145,mullerlyer,short,-14.946666666666667,1.5674895187532392,0.46070702739479397
146,baserate,long,1.2533333333333334,1.4173435057809605,0.44167762748552764
